CODPROD,NUMPOL,FECINIVIG,MTOOPER,CODPLAN,Mes
AUKM,1060,2025-01-24 0:00:00,533.34,2 MIL KM,1
AUKM,502,2025-01-24 0:00:00,533.34,2 MIL KM,1
AUKM,1615,2025-01-24 0:00:00,443.33,2 MIL KM,1
AUKM,1616,2025-01-24 0:00:00,980.07,2 MIL KM,1
AUKM,1617,2025-01-24 0:00:00,443.33,2 MIL KM,1
AUKM,1613,2025-01-24 0:00:00,911.04,4 MIL KM,1
AUKM,1612,2025-01-24 0:00:00,2146.58,6 MIL KM,1
AUKM,559,2025-01-25 0:00:00,533.34,2 MIL KM,1
AUKM,1620,2025-01-25 0:00:00,481.51,2 MIL KM,1
AUKM,1622,2025-01-25 0:00:00,590.12,2 MIL KM,1
AUKM,1623,2025-01-25 0:00:00,443.33,2 MIL KM,1
AUKM,1177,2025-01-25 0:00:00,2578.29,2 MIL KM,1
AUKM,1618,2025-01-25 0:00:00,1189.06,4 MIL KM,1
AUKM,1621,2025-01-25 0:00:00,3050.78,6 MIL KM,1
AUKM,1626,2025-01-27 0:00:00,1408.76,MOTO 3MIL KM,1
AUKM,1625,2025-01-28 0:00:00,1061.59,2 MIL KM,1
AUKM,1627,2025-01-28 0:00:00,443.33,2 MIL KM,1
AUKM,1628,2025-01-29 0:00:00,565.92,2 MIL KM,1
AUKM,562,2025-01-30 0:00:00,4700.16,6 MIL KM,1
AUKM,590,2025-01-31 0:00:00,860.73,2 MIL KM,1
AUKM,553,2025-01-31 0:00:00,1066.67,4 MIL KM,1
AUKM,547,2025-01-31 0:00:00,5194.77,6 MIL KM,1
AUKM,1633,2025-02-01 0:00:00,695.72,2 MIL KM,2
AUKM,1637,2025-02-01 0:00:00,572.42,2 MIL KM,2
AUKM,570,2025-02-01 0:00:00,576.92,2 MIL KM,2
AUKM,568,2025-02-01 0:00:00,533.34,2 MIL KM,2
AUKM,1640,2025-02-01 0:00:00,1066.86,4 MIL KM,2
AUKM,1634,2025-02-01 0:00:00,1865.78,6 MIL KM,2
AUKM,564,2025-02-01 0:00:00,1600,6 MIL KM,2
AUKM,565,2025-02-01 0:00:00,1908.97,6 MIL KM,2
AUTO,480348,2025-02-01 0:00:00,3461.55,Todo Riesgo,2
AUKM,1642,2025-02-02 0:00:00,572.42,2 MIL KM,2
AUKM,1643,2025-02-02 0:00:00,1072.75,2 MIL KM,2
AUKM,1644,2025-02-04 0:00:00,699.92,2 MIL KM,2
AUKM,1647,2025-02-05 0:00:00,604.92,2 MIL KM,2
AUKM,1648,2025-02-05 0:00:00,572.42,2 MIL KM,2
AUKM,1245,2025-02-05 0:00:00,1066.67,4 MIL KM,2
AUKM,1646,2025-02-05 0:00:00,1654.88,6 MIL KM,2
AUKM,1046,2025-02-06 0:00:00,1649.77,6 MIL KM,2
